ORDER,ZIP,TOTAL,R_0_17,R_18_29,R_30_39,R_40_49,R_50_64,R_65_74,R_75_84,R_85_UP
102,93309,58538,14817,12698,8337,6455,8975,3873,2271,1112
103,90062,35916,8315,6934,5313,4682,6869,2306,1125,372
104,90005,39732,7208,8181,7035,6214,6067,2707,1737,583
105,92345,82110,24538,14714,9511,9522,14628,5639,2831,727
106,95348,34002,8778,8968,4390,3520,4567,2167,1275,337
107,93905,60531,21528,11170,10163,6949,6998,2544,890,289
108,92105,73623,18831,16063,10930,9041,11728,4227,1950,853
109,93726,42824,12358,9525,6552,3772,6318,2606,991,702
110,92243,50402,14373,8521,6195,5924,8655,3879,1894,961
111,95358,32524,10030,5957,4222,4276,4918,1866,890,365
112,91733,45365,11106,8477,6031,6071,8020,3200,1749,711
113,93030,58422,15805,11250,8363,7718,9596,3256,1676,758
114,92231,40064,11710,7253,4905,4107,6444,3024,1871,750
115,93637,41108,13019,6661,5500,5531,5673,2474,1698,552
116,90018,53490,12303,10541,8155,6600,9755,3280,2006,850
117,92335,99306,29481,21110,14481,12544,14322,4370,2215,783
118,92283,1684,540,257,124,166,269,176,109,43
119,91766,72348,18746,15437,9780,8876,12291,4233,2114,871
120,92507,59152,11074,23278,8032,4812,7517,2661,1234,544
121,92101,41159,1976,9400,10372,5300,7698,3723,1866,824
122,90034,53861,7302,13080,13108,7835,7520,3068,1430,518
123,95422,15696,4117,2321,1793,1663,3010,1926,665,201
124,95301,39186,10987,6797,5030,5769,5874,2579,1650,500
125,93263,22210,7223,4900,2768,2757,2817,970,565,210
126,92025,52985,14351,10165,7592,6467,8821,3124,1680,785
127,92504,59896,14527,12696,7898,7087,10271,4141,2181,1095
128,92201,65726,14899,10453,8914,8402,12154,6735,3255,914
129,93654,30373,9167,5135,3622,3453,5191,1838,971,996
130,95340,35827,8622,7843,4583,3746,6417,2789,1317,510
131,92113,58408,16113,16595,7629,6895,7119,2403,1223,431
132,90744,56880,16445,11307,8210,7127,8410,3201,1597,583
133,90806,41990,10667,8557,6262,5156,7411,2224,1220,493
134,92277,23172,6850,6176,3368,1481,3241,1332,482,242
135,92882,73250,18164,13118,10636,10866,12857,4581,2208,820
136,95374,1682,361,245,221,179,431,127,69,49
137,95823,79440,23359,14019,11859,8281,13598,5384,1904,1036
138,93247,18234,5514,3277,2364,2093,2833,1124,780,249
139,93219,10285,3338,1958,1391,1465,1399,368,261,105
140,95380,42866,12014,8004,5662,4666,7232,3091,1530,667
141,92324,59972,16478,11802,9561,6803,8973,3831,1770,754
142,90222,33200,10385,6558,4955,3941,4543,1646,659,513
143,93608,1280,350,290,156,208,189,36,51,0
144,90201,101965,30031,21239,13693,13513,15087,4907,2341,1154
145,94111,3611,297,403,829,409,611,378,454,230
146,95691,38690,10134,6199,6713,5012,6220,2751,1115,546
147,93901,28194,7341,5036,3999,2983,5148,1988,914,785
148,95901,33455,9107,6447,5032,3264,5902,2119,1100,484
149,90804,39239,8279,9851,6831,5370,5885,2035,651,337
150,93203,22662,8255,4728,2889,2613,2935,763,347,132
151,92236,45477,10824,7418,8248,7477,7651,2667,872,320
152,93277,52271,14667,8467,7760,5421,8235,4289,2244,1188
153,91343,66743,17459,12182,9459,9828,10859,3998,2093,865
154,95350,54210,13051,8930,7169,5910,10095,5098,2772,1185
155,95231,5165,830,1347,1006,685,804,238,157,98
156,93215,54958,14455,12509,8491,7272,7547,2290,1833,561
157,91732,62905,14320,11982,8502,8490,11780,4424,2419,988
158,90262,70536,19952,15326,10631,8866,10450,3305,1551,455
159,92020,59743,14643,10687,8497,7180,11090,3870,2349,1427
160,90220,52817,15368,9556,6903,6767,8869,3039,1511,804
161,95824,30296,8654,5523,3741,4135,5136,1812,778,517
162,96124,458,127,21,37,90,104,40,39,0
163,91768,35191,8056,9948,4094,4241,5351,1953,968,580
164,91411,26111,6211,4664,4692,3847,3868,1453,761,615
165,93610,22724,4834,4498,4356,3110,4049,1261,449,167
166,92376,86085,24548,18480,12237,10274,12534,4985,2284,743
167,93631,16282,4738,2314,2215,2185,2478,1222,745,385
168,92411,25650,8189,5004,3073,3130,3470,1593,748,443
169,90063,53980,14527,10673,8201,6774,8038,3463,1540,764
170,92703,69112,18284,13710,10425,9586,10567,4099,1790,651
171,91762,61718,16533,11860,9076,7767,10016,3732,1965,769
172,91731,30222,7282,5867,3768,3586,5044,2536,1360,779
173,93458,57256,19673,11905,8114,6963,6602,2328,1148,523
174,95076,86905,23708,16057,11498,10502,15385,5878,2759,1118
175,93618,31470,10762,5967,3987,3629,4341,1588,937,259
176,90731,60659,14061,9746,9104,8471,11259,4893,2141,984
177,95817,13758,2026,2981,3027,1603,2339,936,591,255
178,92879,47872,12156,8640,7396,6804,8128,2653,1509,586
179,92274,15317,4280,2738,1787,2032,2815,1023,520,122
180,92115,64343,11275,22894,9123,5896,9291,3438,1745,681
181,92354,22050,3908,4332,3165,2322,3857,2255,1453,758
182,93616,2582,772,456,260,256,559,195,75,9
183,95315,14520,4414,2706,1849,1459,2905,913,216,58
184,93501,4802,1010,748,582,493,947,735,218,69
185,92394,34915,10945,6397,5674,4424,5204,1601,507,163
186,90280,94642,25577,18845,13499,12500,14775,6177,2287,982
187,95821,35812,8970,5308,5133,3757,6939,3374,1451,880
188,92801,66594,17308,13510,9912,8548,10479,3649,2156,1032
189,95307,46283,14197,8553,6319,5855,6616,2602,1598,543
190,92518,1021,290,52,137,76,43,79,130,214
191,93638,49932,16191,9900,6578,6072,6836,2575,1340,440
192,92254,9779,2939,1698,1227,1507,1763,431,164,50
193,95961,28489,8801,4786,4448,3489,4340,1843,586,196
194,94621,35035,10988,6570,5858,4183,4864,1618,699,255
195,91764,56677,15141,11389,9106,8131,8224,2628,1523,535
196,92262,28618,4407,3309,2416,3169,7820,4414,2260,823
197,90606,32987,7325,5825,4662,4758,6058,2432,1269,658
198,93250,16191,5484,3391,2720,1811,2011,581,149,44
199,92021,70148,17062,13057,9544,7870,13602,5581,2326,1106
200,93560,21756,6543,3793,3063,2605,3788,1225,694,45
201,92701,55058,17320,10710,8917,7431,7012,1917,1179,572
202,95215,24326,6122,3949,2741,3225,4853,1919,1047,470
203,91911,84026,19910,15086,11466,11532,14621,6117,3547,1747
204,92408,13635,3490,2798,1968,1609,2391,875,415,89
205,95928,37735,6401,11338,4687,3640,5893,3458,1356,962
206,90019,64534,11547,11428,11283,9592,12367,4574,2666,1077
207,94605,43399,9160,6435,7208,6308,7749,3963,1895,681
208,91605,53113,11357,11187,7639,7719,9491,3550,1654,516
209,93285,2477,316,336,138,276,528,597,225,61
210,94607,26823,4164,5502,5780,3406,4171,2041,1037,722
211,90020,39189,7158,8588,7446,5480,6735,2324,1119,339
212,92551,34011,9802,6947,4904,4654,4923,1821,844,116
213,93646,11738,4398,2172,1529,1310,1419,542,349,19
214,93256,5431,2138,630,1148,363,620,393,71,68
215,90802,38962,5535,8434,8214,5862,7272,2207,1184,254
216,92307,39149,10597,5927,4909,4397,7265,3570,1805,679
217,92571,57622,18630,11241,8371,7533,8217,2302,1174,154
218,90810,37251,8912,7599,4747,4479,7177,2417,1241,679
219,92509,81383,23271,16200,11249,9946,13286,4464,2002,965
220,95842,33522,8984,5928,5423,3831,6158,1920,933,345
221,95825,37473,8042,9189,6079,4002,5142,2689,1402,928
222,90022,67014,18206,12348,10098,8294,11028,4086,1949,1005
224,93292,42031,12747,7344,5847,4200,7322,2989,1094,488
225,93612,35140,9017,6640,5302,3420,5888,3059,1258,556
226,91770,62703,12060,10242,7371,8823,13476,5616,3251,1864
227,91203,15410,2697,2450,3171,1947,3106,1014,856,169
228,94109,57302,3380,12823,15892,6506,9086,4493,3209,1913
229,92868,27072,5080,7165,4694,3516,3951,1611,646,409
230,90031,39916,8610,8048,5536,5839,6445,2606,1555,1277
231,95822,44741,10925,6231,6387,5779,8048,3868,2136,1367
232,90706,77195,19685,14164,10767,10366,13678,5000,2485,1050
233,92346,63857,16898,11402,8333,8874,11365,4430,1949,606
234,92503,95551,24841,17863,13861,12637,16429,6070,2963,887
235,90004,60541,11610,11964,11134,9019,10270,4151,1769,624
236,93555,33833,8933,4870,4884,3767,6140,2845,1588,806
237,90008,31754,5002,5191,4248,4334,7455,3412,1567,545
238,92530,58184,17540,10548,8434,7188,9562,3039,1339,534
239,92313,12547,2447,2147,2048,1568,2430,1243,491,173
240,94601,53039,13139,10191,9032,7806,8120,2996,1212,543
241,93648,16087,5382,2942,1990,2027,2331,981,314,120
242,95828,58717,14564,9653,7743,7625,11140,4489,2509,994
243,92374,43391,9943,8919,6487,5180,7288,3229,1485,860
244,90029,36668,5462,7850,6893,4732,7043,2672,1324,692
245,93245,38480,10670,10003,5782,3960,4732,1979,1061,293
246,94134,42418,7712,6651,5774,5845,9421,3881,2057,1077
247,90028,29774,2015,8277,6396,4902,4442,1840,1279,623
248,93647,11407,3907,2079,1730,1206,1414,574,357,140
249,92706,35748,9392,6418,5196,4665,6252,2094,1047,684
250,95388,14116,4507,2265,1812,1612,2186,986,655,93
251,95334,17057,5267,3236,2395,1769,2507,975,643,265
252,90016,45899,9007,8688,6819,6807,8435,3560,1689,894
253,91761,61425,15445,12280,8728,8269,11080,3949,1235,439
254,93272,4707,1886,727,665,615,514,237,35,28
255,92310,9872,3646,3657,1990,371,120,26,62,0
256,90270,27287,7688,5911,3596,3749,4055,1300,746,242
257,95531,23737,5247,3540,3533,2863,4806,2243,984,521
258,96130,20119,3047,5675,3757,2390,3144,1283,594,229
259,95501,23324,3949,4409,3491,3013,4534,2502,953,473
260,95991,40861,11141,6778,5790,4576,6947,2763,1941,925
261,93615,6347,2121,1383,819,555,830,285,295,59
262,93516,2244,431,440,277,188,545,246,73,44
263,91767,50606,12677,9932,7179,6639,8311,3483,1585,800
264,91335,81824,18302,13818,12123,11481,15679,5584,3075,1762
265,91205,37638,6005,6255,5862,4642,7910,3133,2656,1175
266,92880,69656,20731,10843,10812,10352,11252,3370,1838,458
267,94533,75909,19274,14357,10961,8484,13928,4972,2703,1230
268,92705,47298,11372,7130,5635,6154,9275,4141,2242,1349
269,91910,74855,16585,12979,9689,10018,14529,5947,3422,1686
270,93650,3173,764,488,455,432,422,372,193,47
271,95966,29860,6029,4492,3478,2644,6400,3762,2176,879
272,95482,31482,7614,4980,3663,4109,5935,2997,1456,728
273,92069,50376,12952,9499,6975,6313,8619,3485,1836,697
